"RID";"FD";"TD";"KEY";"TP_CDR";"TP_CDR2";"GPRS_UNION";"GEN_TAP_MODE";"TRANSIT_START";"TRANSIT_END";"TRANSIT_PERIOD";"TAP_NOTIFICATION";"TASK_RID";"NUMBER_TYPES"
4366;1609459200;4070908800;"23195.2";1895;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
1593;1546300800;4070908800;"23196.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
4395;1546300800;1609459199;"23197.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4394;1609459200;4070908800;"23197.2";1895;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
4455;1546300800;1609459199;"23198.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4454;1609459200;4070908800;"23198.2";1953;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
3393;1546300800;1596239999;"23199.2";484;;;2;"01:00";"23:59";720;720;;
3392;1596240000;4070908800;"23199.2";1451;483;1;1;"01:00";"23:59";720;720;1028600;"1,2,3"
3711;1546300800;1609459199;"23200.2";484;;;2;"01:00";"23:59";720;720;;
3710;1609459200;4070908800;"23200.2";483;;1;1;"01:00";"23:59";720;720;;"1,2,3"
4097;1546300800;1609459199;"23201.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4096;1609459200;4070908800;"23201.2";1774;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
3789;1546300800;1609459199;"23202.2";484;;;2;"01:00";"23:59";720;720;;
3788;1609459200;4070908800;"23202.2";483;;1;1;"01:00";"23:59";720;720;;"1,2,3"
3492;1546300800;1612137599;"23203.2";484;;;2;"01:00";"23:59";720;720;;
3532;1612137600;4070908800;"23203.2";1531;463;1;1;"01:00";"23:59";720;720;1028950;"1,2,3"
6950;1714521600;4070908800;"23204.1";483;;1;1;"01:00";"23:59";720;720;;"1,2,3"
3645;1546300800;1609459199;"23204.2";484;;;2;"01:00";"23:59";720;720;;
6951;1609459200;1714521599;"23204.2";483;;1;1;"01:00";"23:59";720;720;;"1,2,3"
1602;1546300800;4070908800;"23205.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
3669;1546300800;1609459199;"23206.2";484;;;2;"01:00";"23:59";720;720;;
6851;1609459200;1714521599;"23206.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
6850;1714521600;4070908800;"23206.2";2771;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
4243;1546300800;1609459199;"23207.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
5830;1609459200;1672531199;"23207.2";1837;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
5912;1672531200;4070908800;"23207.2";1837;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
4493;1546300800;1609459199;"23208.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4492;1609459200;4070908800;"23208.2";1972;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
3260;1546300800;1593561599;"23209.2";484;;;2;"01:00";"23:59";720;720;;
3259;1593561600;4070908800;"23209.2";1389;483;1;1;"01:00";"23:59";720;720;1028347;"1,2,3"
1607;1546300800;4070908800;"23210.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
3651;1546300800;1609459199;"23211.2";484;;;2;"01:00";"23:59";720;720;;
3650;1609459200;4070908800;"23211.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
2850;1546300800;1585699199;"23212.2";484;;;1;"01:00";"23:59";720;720;;
6571;1585699200;1704067199;"23212.2";1263;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
