"RID";"FD";"TD";"KEY";"TAX_PROFILE";"SERVICE_PROFILE";"TP_CHECK";"CHECK_MODE";"TP_REPRICE";"TRANSIT_TAP_MODE";"TRANSIT_START";"TRANSIT_END";"TRANSIT_PERIOD";"GEN_RAP";"TRANSIT_RAP";"PASS_RC_LESS_IC";"IOT_THRESHOLD";"IOT_DEBUG"
1734;1546300800;4070908800;"22895.2";3;;;;;1;;;;1;1;0;;
1735;1546300800;4070908800;"22896.2";3;;;;;1;;;;1;1;0;;
1736;1546300800;4070908800;"22897.2";3;;;;;1;;;;1;0;0;;
1737;1546300800;4070908800;"22898.2";3;;;;;1;;;;1;1;0;;
1738;1546300800;4070908800;"22899.2";3;;;;;1;;;;1;1;0;;
1739;1546300800;4070908800;"22900.2";3;;;;;1;;;;1;1;0;;
10566;1643673600;4070908800;"22901.1";3;;;;;1;;;;1;1;0;;0
10567;1546300800;1643673599;"22901.2";3;;;;;1;;;;1;1;0;;
1741;1546300800;4070908800;"22902.2";3;;;;;1;;;;1;1;0;;
1742;1546300800;4070908800;"22903.2";3;;;;;1;;;;1;1;0;;
1743;1546300800;4070908800;"22904.2";3;;;;;1;;;;1;0;0;;
1744;1546300800;4070908800;"22905.2";3;;;;;1;;;;1;1;0;;
1745;1546300800;4070908800;"22906.2";3;;;;;1;;;;1;1;0;;
1746;1546300800;4070908800;"22907.2";3;;;;;1;;;;1;0;0;;
1747;1546300800;4070908800;"22908.2";3;;;;;1;;;;1;1;0;;
1748;1546300800;4070908800;"22909.2";3;;;;;1;;;;1;1;0;;
9799;1546300800;1577836799;"22910.2";3;;;;;1;;;;1;1;0;;
9798;1577836800;4070908800;"22910.2";2;;;;;1;;;;1;1;0;;0
1750;1546300800;4070908800;"22911.2";3;;;;;1;;;;1;1;0;;
1751;1546300800;4070908800;"22912.2";3;;;;;1;;;;1;1;0;;
1752;1546300800;4070908800;"22913.2";3;;;;;1;;;;1;0;0;;
1753;1546300800;4070908800;"22914.2";3;;;;;1;;;;1;0;0;;
1754;1546300800;4070908800;"22915.2";3;;;;;1;;;;1;1;0;;
1755;1546300800;4070908800;"22916.2";3;;;;;1;;;;1;0;0;;
1756;1546300800;4070908800;"22917.2";3;;;;;1;;;;1;1;0;;
