"RID";"TO_EPOCH(FD,0)";"TO_EPOCH(TD,0)";"KEY";"ID";"PLAN_ID";"CONN_TYPE_ID";"ZONE_NAME";"INTERVAL_GROUP_ID";"TRANGE_GROUP_ID";"TRANGE_ID";"CURRENCY_ID";"CTL1";"CTL2";"CTL3";"SERVICE_CLASS";"PRICE";"COEF";"FS";"CL";"REPRICE_MODE";"P_FD"
9516;1580515200;4070908800;"1144.2.405.165.164.164.";5861;1144;2;405;165;164;164;3;2;5;0;;12;;;;0;"20200201"
9508;1580515200;4070908800;"1144.2.406.165.164.164.";5853;1144;2;406;165;164;164;3;2;5;0;;5.5;;;;0;"20200201"
9869;1580515200;4070908800;"1144.2.861.163.164.164.";5856;1144;2;861;163;164;164;3;2;0;0;;0.22727;0;;;;"20200201"
9615;1580515200;1593561600;"1144.27..163.164.164.";5850;1144;27;;163;164;164;3;1;2;2;;0.155;;;;0;"20200201"
9504;1580515200;4070908800;"1144.29..163...";5849;1144;29;;163;;;3;1;2;3;;0;;;;0;"20200201"
9513;1580515200;4070908800;"1144.3...164.164.";5858;1144;3;;;164;164;3;0;0;0;;0;;;;0;"20200201"
9509;1580515200;4070908800;"1144.4...164.164.";5854;1144;4;;;164;164;3;2;1;0;;0.01818;;;;0;"20200201"
9510;1580515200;4070908800;"1144.7..283.164.164.";5855;1144;7;;283;164;164;3;10;0;0;;0.01818;;;;0;"20200201"
19118;1583020800;1688169599;"1163.1..163.164.164.";5871;1163;1;;163;164;164;3;0;0;0;;0;;;;0;"20200301"
19117;1688169600;4070908800;"1163.1..163.164.164.";5871;1163;1;;163;164;164;3;0;0;0;;0;;;;0;"20230701"
19106;1583020800;1688169599;"1163.12...164.164.";5874;1163;12;;;164;164;3;0;0;0;;0;;;;0;"20200301"
19105;1688169600;4070908800;"1163.12...164.164.";5874;1163;12;;;164;164;3;0;0;0;;0;;;;0;"20230701"
19100;1583020800;1688169599;"1163.2.401.163.164.164.";5879;1163;2;401;163;164;164;3;1;0;0;;0.2;;;;0;"20200301"
19099;1688169600;4070908800;"1163.2.401.163.164.164.";5879;1163;2;401;163;164;164;3;1;0;0;;0.2;;;;0;"20230701"
19102;1583020800;1688169599;"1163.2.402.163.164.164.";5883;1163;2;402;163;164;164;3;2;0;0;;0.2;;;;0;"20200301"
19101;1688169600;4070908800;"1163.2.402.163.164.164.";5883;1163;2;402;163;164;164;3;2;0;0;;0.2;;;;0;"20230701"
19108;1583020800;1688169599;"1163.2.403.163.164.164.";5876;1163;2;403;163;164;164;3;2;0;0;;0.2;;;;0;"20200301"
19107;1688169600;4070908800;"1163.2.403.163.164.164.";5876;1163;2;403;163;164;164;3;2;0;0;;0.2;;;;0;"20230701"
19110;1583020800;1688169599;"1163.2.404.163.164.164.";5880;1163;2;404;163;164;164;3;2;0;0;;0.2;;;;0;"20200301"
19109;1688169600;4070908800;"1163.2.404.163.164.164.";5880;1163;2;404;163;164;164;3;2;0;0;;0.2;;;;0;"20230701"
19124;1583020800;1688169599;"1163.2.405.165.164.164.";5881;1163;2;405;165;164;164;3;2;5;0;;12;;;;0;"20200301"
19123;1688169600;4070908800;"1163.2.405.165.164.164.";5881;1163;2;405;165;164;164;3;2;5;0;;12;;;;0;"20230701"
